,questions,labbel
0,подскаж как обсто дел на таможн мамалыг,border_situation
1,пожалуйста поделитесь как на пункте мамалыга сколько машин стоит ли туда ехать или на другой где сейчас проще пробраться в молдову или румынию,border_situation
2,Животных пускают   У моей собаки нет документов,animals
3,спасибо🙏,other
4,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им хостел до рассвет документ все при себ имеют спасиб,dwelling
5,Как раскопать дом в Кишиневе,dwelling
6,подскаж как пропускной пункт лучш еха с одесс чтоб не нарва на неприятн по дорог,best_border
7,ищу жильё для двух семей из одессы,dwelling
8,над апартамент на сем в кишинев,dwelling
9,Как зайти в молдову когда нет вакцин на котов,animals
10,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел недалеко помочь жильём,dwelling
11,можно,other
12,Нужна квартира в Кишиневе,dwelling
13,как найт хостел в кишинев,dwelling
14,ребята   как граница поланки и староказачье очень загружена,border_situation
15,У кого можно снять квартиру в Кишиневе для семьи из   землянин,dwelling
16,если я еду с ребёнком   на какую границу ехать что б не стоять по   часов,best_border
17,есть сообщение сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
18,как ситуац сейчас на кпп паланк,border_situation
19,подскаж как обсто дел на пропускной пункт мирноетабак очеред ест,border_situation
20,куд в кишинев обращат чтоб получ хостел,dwelling
21,добрый день подскажите как сегодня в тудорах много машин,border_situation
22,подскаж пожалуйст может кто - т хостел сдат на мног спал ил у кого - т свободн номер - кишенев- окрестн,dwelling
23,У кого можно снять квартиру в Кишиневе для семьи из   человек,dwelling
24,над хостел на сем в кишинев,dwelling
25,какая положение сейчас на старокозачьем,border_situation
26,Помогите пожалуйста нужен ночлег в кишиневе,dwelling
27,хоч снят квартир в кишинев для сем,dwelling
28,здравствуйте нужн квартир ил номер в отел в кишинев для   взросл   ребенок мес и маленьк собачк,dwelling
29,свободн гостиниц в кишин ест срочн,dwelling
30,ест очеред на границ мамалиг как ситуац,border_situation
31,есть у кого-то где-то близко тараклии жилье,dwelling
32,как арендова хостел в кишенев,dwelling
33,подскажите пожалуйста мы в штефан водах   взрослых   детей есть ли возможность разместить нас где то вблизи спасибо заранее,dwelling
34,из одессы на своей машине с ребёнком 13 лет реально выехать ??,other
35,как сейчас ситуац пункт паланк и пропускной пункт старокозач,border_situation
36,добрый день подскажите пожалуйста кто проходил границу могилёв - подольский отач заехать в молдову какая ситуация на кордоне открыт ли этот пункт таможни ежели нет какой ближайший вариант,border_situation
37,ласковый вечер подскажите какая ситуация на границе в бричанах если пройти пешком с   детьми большая очередь - сколько времени,border_situation
38,Погран служба пропускают котов,animals
39,Примет ли молдова животные,animals
40,как дела на паланке пишут огромные очереди а просто такси быстро доезжает,border_situation
41,напиш пожалуйст как ситуац в атак посл прохожден пункт в могилев сто ли перевозчик как посл кпп добра до кишинев две женщин и ребенок больш спасиб,border_situation
42,Скажите пожалуйста где можно перейти границу с животными,animals
43,Можете изъяснить как пройти с собакой без международного пасспорта,animals
44,благожелательный день подскажите как нынче в тудорах много машин,border_situation
45,в кишинев хот снят квартир ил отел   взросл и   дет,dwelling
46,здравствуйте скажите пожалуйста через какую таможню можно проехать из одессы в молдову   какая открыта,best_border
47,Погран служба сосздают проблемы при переходе с котами,animals
48,поменять не получится( но в магазинах если расплатиться картой- то будет нормальн ный курс,other
49,в кишин хот снят апартамент ил гостиниц взросл и дет,dwelling
50,подскажите как лучше проехать с черновцов сквозь мамалыгу или через бричаны,best_border
51,подскажите возможно ли проехать границу с животными без паспортов животных и с ребенком без нотариального разрешения для выезда спасибо,animals
52,подскаж пожалуйстакуд пода от паланк на румын как пропускной пункт не забит и дорог ноч можн проеха,best_border
53,пожалуйста подскажите какой кпп лучше ехать,best_border
54,Нужна новость какая лучше граница для пересечений,best_border
55,подскаж как проездной билет пунк лучш еха с одесс чтоб не нарва на неприятн по дорог,best_border
56,муж с сыном сидели двое суток на границе и ждали лоялную смену,other
57,переходно пункт басарабяск как ситуац скольк ждат может кто - нибуд там сейчас спасиб,border_situation
58,подскажите на грушиве какие очереди на выезд сейчас,border_situation
59,Доброе утро где обращатся чтобы принять ночлег,dwelling
60,большая очередь на границе украина - молдова через какую границу лучше ехать,best_border
61,а ещ подскаж пожалуйст кто проезжа через как населен пропускной пункт лучш пересека границ,best_border
62,Куда людей размещают в Кишиневе,dwelling
63,Нужна известие какая лучше граница для пересечений,best_border
64,подскаж границ пропуск сокиря на машин можн пересеч и как очеред,border_situation
65,Как выехать в страну с животными без документов,animals
66,реб как ест хорош вариант ночлег в кишинев,dwelling
67,к сожалению с той стороны границы нет вариантов… здесь по югу молдовы,other
68,Лучшая граница для пересечения,best_border
